riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs117375960-?	2.00E-06	-	NR	142.85713	-	[2.9-∞]	NT5C2	Response to citalopram or escitalopram and depression	unipolar depression,response to escitalopram,response to citalopram,mood disorder	-	GCST003811	1719375:07:00	27622933	Li QS
rs2973692-C	2.00E-07	-	NR	-	2.77E-10 unit increase	[-8.28643-8.28643]	COL23A1	HDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	response to escitalopram,response to citalopram,high density lipoprotein cholesterol measurement	bipolar disorder,schizophrenia	GCST012320	2972112:52:00	33824429	Fjukstad KK
rs2961701-G	6.00E-07	-	NR	-	6.29E-18 unit increase	[-15.55295-15.55295]	SPRY4,NDFIP1	HDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	response to escitalopram,response to citalopram,high density lipoprotein cholesterol measurement	bipolar disorder,schizophrenia	GCST012320	2370358:18:00	33824429	Fjukstad KK
rs117122954-C	9.00E-09	-	NR	-	15.6213 unit decrease	[10.6-20.65]	CGNL1	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram		GCST012319	957474:07:00	33824429	Fjukstad KK
rs7015376-T	3.00E-07	-	NR	-	12.0039 unit decrease	[7.6-16.4]	GRHL2	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	1692577:56:00	33824429	Fjukstad KK
rs9854831-A	5.00E-07	-	NR	-	8.73719 unit decrease	[6.44-11.03]	LINC02069	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	3079442:49:00	33824429	Fjukstad KK
rs7017107-G	9.00E-07	-	NR	-	2.90073 unit increase	[1.8-4]	-	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	358944:19:00	33824429	Fjukstad KK
rs73522151-C	1.00E-06	-	NR	-	19.4674 unit decrease	[12-26.94]	RBFOX1	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	100471:54:00	33824429	Fjukstad KK
rs71582886-A	1.00E-06	-	NR	-	12.2189 unit decrease	[7.87-16.57]	RELN	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	1729168:25:00	33824429	Fjukstad KK
rs58974557-G	2.00E-06	-	NR	-	15.489 unit decrease	[9.44-21.54]	DPP6	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	2577421:24:00	33824429	Fjukstad KK
rs118129203-C	4.00E-06	-	NR	-	18.2848 unit decrease	[10.79-25.78]	Y_RNA,RNU6-1286P	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	2022704:47:00	33824429	Fjukstad KK
rs12727338-A	5.00E-06	-	NR	-	2.39409 unit increase	[1.42-3.37]	ACTRT2	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	49516:05:00	33824429	Fjukstad KK
rs77812015-C	6.00E-06	-	NR	-	14.4129 unit decrease	[8.42-20.4]	PLGRKT,CD274	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	90736:56:00	33824429	Fjukstad KK
rs76714130-G	6.00E-06	-	NR	-	11.1853 unit decrease	[6.53-15.84]	CHST11	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	1744028:09:00	33824429	Fjukstad KK
rs962987-T	6.00E-06	-	NR	-	2.06139 unit increase	[1.2-2.92]	TRIML2,ZFP42	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	3133850:19:00	33824429	Fjukstad KK
rs72701151-G	7.00E-06	-	NR	-	19.5183 unit decrease	[11.33-27.71]	RFX3-AS1	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	61607:51:00	33824429	Fjukstad KK
rs72927277-A	7.00E-06	-	NR	-	11.7895 unit decrease	[7.54-16.04]	MTCYBP36	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	1573390:47:00	33824429	Fjukstad KK
rs116869376?-T	8.00E-06	-	NR	-	13.547 unit decrease	[7.82-19.27]	SNX13	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	297873:21:00	33824429	Fjukstad KK
rs75608892-C	8.00E-06	-	NR	-	19.0116 unit decrease	[10.97-27.06]	RIMS1	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	1207217:41:00	33824429	Fjukstad KK
rs6018666-C	9.00E-06	-	NR	-	2.09401 unit increase	[1.2-2.99]	SULF2	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	795799:11:00	33824429	Fjukstad KK
rs116203827-G	1.00E-05	-	NR	-	13.6681 unit decrease	[7.82-19.52]	ZFHX3	LDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	low density lipoprotein cholesterol measurement,response to escitalopram,response to citalopram	schizophrenia,bipolar disorder	GCST012319	1229833:52:00	33824429	Fjukstad KK
rs73522151-C	3.00E-07	-	NR	-	22.1596 unit decrease	[14.03-30.29]	RBFOX1	Total cholesterol levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	total cholesterol measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012318	100471:54:00	33824429	Fjukstad KK
rs71478642-C	4.00E-06	-	NR	-	17.0997 unit decrease	[10.13-24.07]	ALDH1A2	Total cholesterol levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	total cholesterol measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012318	965134:51:00	33824429	Fjukstad KK
rs75608892-C	8.00E-06	-	NR	-	20.9468 unit decrease	[12.07-29.82]	RIMS1	Total cholesterol levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	total cholesterol measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012318	1207217:41:00	33824429	Fjukstad KK
rs17665285-A	1.00E-05	-	NR	-	2.68114 unit decrease	[1.53-3.83]	SLIT3	Total cholesterol levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	total cholesterol measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012318	2812093:24:00	33824429	Fjukstad KK
rs72828888-G	1.00E-05	-	NR	-	2.97739 unit increase	[1.7-4.25]	ARHGAP25	Total cholesterol levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	total cholesterol measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012318	1145984:33:00	33824429	Fjukstad KK
rs111851914-A	3.00E-07	-	NR	-	12.05 unit increase	[7.48-16.62]	CLVS2	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	2049443:52:00	33824429	Fjukstad KK
rs1578568-A	1.00E-06	-	NR	-	11.71 unit increase	[7.11-16.31]	PDYN-AS1,RPL7P2	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	34036:17:00	33824429	Fjukstad KK
rs12321461-C	1.00E-06	-	NR	-	3.26515 unit decrease	[2-4.53]	BRWD1P2	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	1497879:29:00	33824429	Fjukstad KK
rs72841380-A	1.00E-06	-	NR	-	11.0145 unit increase	[6.72-15.3]	CNTNAP5	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	2076787:06:00	33824429	Fjukstad KK
rs4949169-A	2.00E-06	-	NR	-	1.94624 unit increase	[1.18-2.71]	LINC02782	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	85045:07:00	33824429	Fjukstad KK
rs806447-G	3.00E-06	-	NR	-	2.11371 unit increase	[1.27-2.95]	SPACA1,CNR1	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	1468190:32:00	33824429	Fjukstad KK
rs75502766-C	4.00E-06	-	NR	-	-	[NR]	-	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	1762245:26:00	33824429	Fjukstad KK
rs150979961-T	4.00E-06	-	NR	-	8.98186 unit increase	[5.31-12.66]	Metazoa_SRP,VTCN1	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	1953641:57:00	33824429	Fjukstad KK
22:28173030-A	4.00E-06	-	NR	-	1.93734 unit increase	[1.14-2.73]	-	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	-	33824429	Fjukstad KK
rs72811286-G	5.00E-06	-	NR	-	12.0554 unit increase	[7.08-17.04]	UNC5A	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	2947082:10:00	33824429	Fjukstad KK
rs117746782-C	7.00E-06	-	NR	-	12.199 unit increase	[7.08-17.31]	ABCA1,CCDC171	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	268339:19:00	33824429	Fjukstad KK
rs546982-A	8.00E-06	-	NR	-	2.08156 unit decrease	[1.2-2.96]	FANCG,PIGO	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	584761:29:00	33824429	Fjukstad KK
rs2185431-C	8.00E-06	-	NR	-	10.02 unit increase	[5.6-14.44]	-	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	1707547:38:00	33824429	Fjukstad KK
rs12644930-T	8.00E-06	-	NR	-	10.67 unit increase	[6.73-14.61]	SORBS2	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	3095283:02:00	33824429	Fjukstad KK
rs112009437-A	8.00E-06	-	NR	-	-	[NR]	FGF4,DNAJB6P5	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	1162765:02:00	33824429	Fjukstad KK
rs7723088-G	9.00E-06	-	NR	-	5.15361 unit decrease	[2.95-7.35]	CNOT6	Triglyceride levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder	triglyceride measurement,response to escitalopram,response to citalopram	bipolar disorder,schizophrenia	GCST012317	3008386:59:00	33824429	Fjukstad KK
rs2742417-T	5.00E-07	(Bupropion, Sexual side effects)	0.49	-	-	-	SACM1L	Response to anti-depressant treatment in major depressive disorder	antidepressant-induced sexual dysfunction,response to bupropion,response to antidepressant	-	GCST001308	761502:19:00	22041458	Clark SL
rs7136572-G	3.00E-07	(Bupropion, Sexual side effects)	0.04	-	-	-	PGAM1P5	Response to anti-depressant treatment in major depressive disorder	antidepressant-induced sexual dysfunction,response to bupropion,response to antidepressant	-	GCST001308	1592778:52:00	22041458	Clark SL
rs10857636-T	2.00E-07	(Bupropion, General side effects)	0.06	-	-	-	WDFY4	Response to anti-depressant treatment in major depressive disorder	response to bupropion,antidepressant-induced side effect,response to antidepressant	-	GCST001308	812961:05:00	22041458	Clark SL
rs17150687-C	3.00E-06	(Bupropion, Sexual side effects)	0.02	-	-	-	MAGI2	Response to anti-depressant treatment in major depressive disorder	antidepressant-induced sexual dysfunction,response to bupropion,response to antidepressant	-	GCST001308	1306906:34:00	22041458	Clark SL
rs11949289-T	2.00E-07	(Venlafaxine, Dizziness)	0.42	-	-	-	LINC02103	Response to anti-depressant treatment in major depressive disorder	response to venlafaxine,antidepressant-induced dizziness,response to antidepressant	-	GCST001308	472339:26:00	22041458	Clark SL
rs4685959-?	1.00E-06	-	NR	-	1.1 unit decrease	[NR]	-	Duloxetine response in major depressive disorder (% change in symptom score)	response to duloxetine	unipolar depression	GCST004738	94095:57:00	28696415	Maciukiewicz M
rs13147572-?	8.00E-06	-	NR	-	0.44 unit decrease	[NR]	SORBS2	Duloxetine response in major depressive disorder (% change in symptom score)	response to duloxetine	unipolar depression	GCST004738	304862:41:00	28696415	Maciukiewicz M
rs140369800-G	1.00E-05	-	NR	1.7569	-	NR	ASAP2	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	156573:40:00	33106475	Li QS
rs12630112-G	1.00E-06	-	NR	1.4352	-	NR	RNU6-217P,ROBO2	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	1295265:53:00	33106475	Li QS
rs6548531-G	2.00E-06	-	NR	0.7019	-	NR	RNU6-217P	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	1298455:57:00	33106475	Li QS
rs224461-T	9.00E-06	-	NR	0.8226	-	NR	HS3ST1	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	190182:20:00	33106475	Li QS
rs35533749-?	6.00E-06	-	NR	1.389	-	NR	PRDM5	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	2011690:04:00	33106475	Li QS
rs34368137-T	6.00E-06	-	NR	0.8158	-	NR	ADGRV1	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	1514344:23:00	33106475	Li QS
rs72782825-T	2.00E-06	-	NR	0.6909	-	NR	-	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	1687673:54:00	33106475	Li QS
rs148907117-T	7.00E-07	-	NR	3.5989	-	NR	-	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	1756151:48:00	33106475	Li QS
rs117461877-T	7.00E-06	-	NR	0.4295	-	NR	KCNQ5	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	1215708:41:00	33106475	Li QS
rs117755882-C	5.00E-06	-	NR	0.4515	-	NR	AGMO	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	259325:49:00	33106475	Li QS
rs55909142-T	5.00E-07	-	NR	0.8391	-	NR	HMGN1P19,ZNF619P1	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	777243:16:00	33106475	Li QS
rs6651270-G	3.00E-06	-	NR	1.2361	-	NR	CPNE3	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	1442092:04:00	33106475	Li QS
rs3739288-T	6.00E-06	-	NR	1.291	-	NR	FBXO32	Response to norepinephrine-dopamine reuptake inhibitors (responders vs non-responders)	response to norepinephrine-dopamine reuptake inhibitor	-	GCST012158	2058560:17:00	33106475	Li QS
